ID;CODE THESAURUS;THESAURUS;NUMERO DOMAINE;LIBELLE DOMAINE;LIBELLE;NUMERO DESCRIPTEUR;SAISISSABLE;VALIDABLE;ABREGE;DATE CREATION;DATE MISE A JOUR;ID OBJET PERE;OBJET PERE;PRECISIONS;NOTE D'APPLICATION;CODE SCHENGEN;
260493;5;Nationalites;1;EUROPE;FRANCAISE;23;o;o;F;13/04/1994;03/06/1997;;;F;;FR;
260570;5;Nationalites;1;EUROPE;ESPAGNOLE;24;o;o;E;13/04/1994;03/06/1997;;;E;;ES;
260646;5;Nationalites;1;EUROPE;PORTUGAISE;25;o;o;P;13/04/1994;03/06/1997;;;P;;PT;
261361;5;Nationalites;1;EUROPE;ITALIENNE;35;o;o;I;13/04/1994;03/06/1997;;;I;;IT;
262067;5;Nationalites;1;EUROPE;TURQUE;46;o;o;TR;13/04/1994;03/06/1997;;;TR,TUR;;TR;
261156;5;Nationalites;1;EUROPE;YOUGOSLAVE;32;o;o;YU;13/04/1994;02/03/2004;;;YU,YOU;;2H;
262190;5;Nationalites;1;EUROPE;CROATE;48;o;o;HR;13/04/1994;04/06/1997;;;CRO,HR;;2D;
262312;5;Nationalites;1;EUROPE;BOSNIENNE;50;o;o;BIH;13/04/1994;17/01/2014;;;BOS;;2C;
262251;5;Nationalites;1;EUROPE;SLOVENE;49;o;o;SLO;13/04/1994;03/06/1997;;;SLO;;2G;
262373;5;Nationalites;1;EUROPE;MACEDONIENNE;51;o;o;MK;13/04/1994;04/06/1997;;;MAC;;1W;
261819;5;Nationalites;1;EUROPE;ROUMAINE;42;o;o;R;13/04/1994;03/06/1997;;;R,ROU;;RO;
261943;5;Nationalites;1;EUROPE;ALBANAISE;44;o;o;AL;13/04/1994;03/06/1997;;;AL,ALB;;AL;
262005;5;Nationalites;1;EUROPE;GRECQUE;45;o;o;GR;13/04/1994;03/06/1997;;;GR;;GR;
262129;5;Nationalites;1;EUROPE;CHYPRIOTE;47;o;o;CY;13/04/1994;03/06/1997;;;CY,CHY;;CY;
261881;5;Nationalites;1;EUROPE;BULGARE;43;o;o;BG;13/04/1994;03/06/1997;;;BG,BUL;;BG;
258928;5;Nationalites;1;EUROPE;RUSSE;7;o;o;RUS;13/04/1994;03/06/1997;;;RUS,CEI,SU;;1P;
259055;5;Nationalites;1;EUROPE;UKRAINIENNE;8;o;o;UA;13/04/1994;03/06/1997;;;UKR;;1U;
258797;5;Nationalites;1;EUROPE;BIELORUSSE;6;o;o;BLR;13/04/1994;06/10/1999;;;BLR,BIE,BELARUS;;1Y;
259174;5;Nationalites;1;EUROPE;LITUANIENNE;9;o;o;LT;13/04/1994;03/06/1997;;;LTU,LIT;;LT;
259288;5;Nationalites;1;EUROPE;LETTONE;10;o;o;LV;13/04/1994;03/06/1997;;;LVA,LET;;LE;
259397;5;Nationalites;1;EUROPE;ESTONIENNE;11;o;o;EST;13/04/1994;03/06/1997;;;EST,EW;;EL;
259700;5;Nationalites;1;EUROPE;ARMENIENNE;14;o;o;ARM;13/04/1994;03/06/1997;;;ARM;;1A;
259603;5;Nationalites;1;EUROPE;GEORGIENNE;13;o;o;GEO;13/04/1994;04/06/1997;;;GEO;;1H;
259795;5;Nationalites;1;EUROPE;AZERBAIDJANAISE;15;o;o;AZE;13/04/1994;03/06/1997;;;AZE,AZERIE;;1C;
259503;5;Nationalites;1;EUROPE;MOLDAVE;12;o;o;MDA;13/04/1994;03/06/1997;;;MDA,MOL;;1K;
259888;5;Nationalites;1;EUROPE;POLONAISE;16;o;o;PL;13/04/1994;03/06/1997;;;PL,POL;;PL;
260871;5;Nationalites;1;EUROPE;TCHECOSLOVAQUE;28;o;o;CS;13/04/1994;03/06/1997;;;CS;;CS;
260943;5;Nationalites;1;EUROPE;   SLOVAQUE;29;o;o;SK;13/04/1994;03/06/1997;28;TCHECOSLOVAQUE;SK;;1Z;
261015;5;Nationalites;1;EUROPE;   TCHEQUE;30;o;o;CZ;13/04/1994;03/06/1997;28;TCHECOSLOVAQUE;CZ,TCH;;2A;
261086;5;Nationalites;1;EUROPE;HONGROISE;31;o;o;H;13/04/1994;03/06/1997;;;H,HON;;HU;
260331;5;Nationalites;1;EUROPE;BRITANNIQUE;21;o;o;GB;13/04/1994;03/06/1997;;;GB;;GB;
260413;5;Nationalites;1;EUROPE;IRLANDAISE;22;o;o;IRL;13/04/1994;03/06/1997;;;IRL;;IE;
260070;5;Nationalites;1;EUROPE;NEERLANDAISE;18;o;o;NL;13/04/1994;03/06/1997;;;HOLLANDAISE,NL,PB,HOL;;NL;
260160;5;Nationalites;1;EUROPE;BELGE;19;o;o;B;13/04/1994;03/06/1997;;;B,BEL;;BE;
259979;5;Nationalites;1;EUROPE;ALLEMANDE;17;o;o;D;13/04/1994;03/06/1997;;;D,ALL;;DE;
260797;5;Nationalites;1;EUROPE;AUTRICHIENNE;27;o;o;A;13/04/1994;03/06/1997;;;A,AUT;;AT;
260722;5;Nationalites;1;EUROPE;SUISSE;26;o;o;CH;13/04/1994;03/06/1997;;;CH,HELVETIQUE,SUI;;CH;
260247;5;Nationalites;1;EUROPE;LUXEMBOURGEOISE;20;o;o;L;13/04/1994;03/06/1997;;;L,LUX;;LU;
258017;5;Nationalites;1;EUROPE;ISLANDAISE;1;o;o;IS;13/04/1994;03/06/1997;;;IS,ISL;;IS;
258184;5;Nationalites;1;EUROPE;NORVEGIENNE;2;o;o;N;13/04/1994;03/06/1997;;;N,NOR;;NO;
258350;5;Nationalites;1;EUROPE;SUEDOISE;3;o;o;S;13/04/1994;03/06/1997;;;S,SUE;;SE;
258508;5;Nationalites;1;EUROPE;DANOISE;4;o;o;DK;13/04/1994;03/06/1997;;;DK,DAN;;DK;
258656;5;Nationalites;1;EUROPE;FINLANDAISE;5;o;o;SF;13/04/1994;03/06/1997;;;FINNOISE,SF,FIN;;FI;
261429;5;Nationalites;1;EUROPE;VATICANE;36;o;o;V;13/04/1994;03/06/1997;;;V;;VA;
261497;5;Nationalites;1;EUROPE;MARINAISE;37;o;o;RSM;13/04/1994;11/10/2007;;;RSM,STM,ST MARINAISE;;SM;
261563;5;Nationalites;1;EUROPE;MONEGASQUE;38;o;o;MC;13/04/1994;03/06/1997;;;MC;;MC;
261628;5;Nationalites;1;EUROPE;ANDORRANE;39;o;o;AND;13/04/1994;02/06/1997;;;AND;;AD;
261693;5;Nationalites;1;EUROPE;LIECHTENSTEINOISE;40;o;o;FL;13/04/1994;03/06/1997;;;FL,LIE;;LI;
261756;5;Nationalites;1;EUROPE;MALTAISE;41;o;o;M;13/04/1994;04/06/1997;;;M;;MT;
261225;5;Nationalites;1;EUROPE;MONTENEGRINE;33;o;o;MTN;13/04/1994;21/02/2019;;;;;1W;
