id;version;niveau;libelle;validite
00001;20230913;1;acc;O
00002;20230913;1;acl;O
00003;20230913;1;acm;O
00004;20230913;1;acma;O
00005;20230913;1;actm;O
00006;20230913;1;adler;O
00007;20230913;1;adly;O
00008;20230913;1;adoc;O
00009;20230913;1;adria;O
00010;20230913;1;aeon;O
00011;20230913;1;aermacchi;O
00012;20230913;1;agria;O
00013;20230913;1;agusta;O
00014;20230913;1;aim;O
00015;20230913;1;aixam;O
00016;20230913;1;alcyon;O
00017;20230913;1;alfa romeo;O
00018;20230913;1;almeras;O
00019;20230913;1;alpine;O
00020;20230913;1;ambassador;O
00021;20230913;1;amc;O
00022;20230913;1;amca noval;O
00023;20230913;1;amf harley;O
00024;20230913;1;ammann;O
00025;20230913;1;amr;O
00026;20230913;1;antem;O
00027;20230913;1;aprilia;O
00028;20230913;1;area;O
00029;20230913;1;aro;O
00030;20230913;1;arola;O
00031;20230913;1;arctic cat;O
00032;20230913;1;artieres;O
00033;20230913;1;asca;O
00034;20230913;1;asia;O
00035;20230913;1;asper;O
00036;20230913;1;aston martin;O
00037;20230913;1;atlas;O
00038;20230913;1;atlas copco;O
00039;20230913;1;atm;O
00040;20230913;1;atnor;O
00041;20230913;1;audi;O
00042;20230913;1;ausa;O
00043;20230913;1;austin;O
00044;20230913;1;auto union;O
00045;20230913;1;autobianchi;O
00046;20230913;1;auverland;O
00047;20230913;1;auwarter ern;O
00048;20230913;1;avia;O
00049;20230913;1;avialsa sche;O
00050;20230913;1;avs;O
00051;20230913;1;avto;O
00052;20230913;1;awe;O
00053;20230913;1;awo;O
00054;20230913;1;axr;O
00055;20230913;1;axxor;O
01177;20230913;1;aero;O
01178;20230913;1;auwaerter;O
01189;20230913;1;achleitner;O
01190;20230913;1;acura;O
01191;20230913;1;agados;O
01192;20230913;1;agco allis;O
01193;20230913;1;argo;O
01194;20230913;1;alexander dennis;O
01195;20230913;1;alpina;O
01196;20230913;1;anssems;O
01197;20230913;1;asquith;O
01198;20230913;1;aurepa;O
01199;20230913;1;avanti;O
01213;20230913;1;abarth;O
01237;20230913;1;alstom;O
01238;20230913;1;alstom siemens;O
01240;20230913;1;aceko;O
01250;20230913;1;access;O
01253;20230913;1;apollo;O
