"INSEE CONSOLIDE";"THESAURUS AVEC AJOUTS";"PCS";"PROPOSITIONS CORRECTIONS";;;
"agriculteur céréalier";"EXPLOITANT AGRICOLE";"10A1";;;;
"agriculteur de cannes à sucre";"EXPLOITANT AGRICOLE";"10A1";;;;
"agriculteur en grandes cultures";"EXPLOITANT AGRICOLE";"10A1";;;;
"aide familial d'exploitant agricole en grandes cultures";"EXPLOITANT AGRICOLE";"10A1";;;;
"betteravier";"EXPLOITANT AGRICOLE";"10A1";;;;
"céréalier";"EXPLOITANT AGRICOLE";"10A1";;;;
"cultivateur";"EXPLOITANT AGRICOLE";"10A1";;;;
"cultivateur de cultures industrielles";"EXPLOITANT AGRICOLE";"10A1";;;;
"cultivateur de légumes de plein champ";"EXPLOITANT AGRICOLE";"10A1";;;;
"cultivateur de pommes de terre";"EXPLOITANT AGRICOLE";"10A1";;;;
"cultivateur de tabac";"EXPLOITANT AGRICOLE";"10A1";;;;
"exploitant agricole en grandes cultures";"EXPLOITANT AGRICOLE";"10A1";;;;
"fermier";"FERMIER";"10A1";;;;
"gérant d'exploitation de grandes cultures";"EXPLOITANT AGRICOLE";"10A1";;;;
"maïsiculteur";"EXPLOITANT AGRICOLE";"10A1";;;;
"riziculteur";"EXPLOITANT AGRICOLE";"10A1";;;;
"sojaculteur";"EXPLOITANT AGRICOLE";"10A1";;;;
"agriculteur en horticulture";"HORTICULTEUR";"10A2";;;;
"agriculteur en maraîchage";"MARAICHER";"10A2";;;;
"aide familial d'exploitant agricole en horticulture";"HORTICULTEUR";"10A2";;;;
"aide familial d'exploitant agricole en maraîchage";"MARAICHER";"10A2";;;;
"bulbiculteur";"HORTICULTEUR";"10A2";;;;
"cressiculteur";"MARAICHER";"10A2";;;;
"cultivateur de champignons";"CHAMPIGNONNISTE";"10A2";;;;
"endivier";"MARAICHER";"10A2";;;;
"exploitant agricole en horticulture";"HORTICULTEUR";"10A2";;;;
"exploitant agricole en maraîchage";"MARAICHER";"10A2";;;;
"floriculteur";"FLORICULTEUR";"10A2";;;;
