"commune_code_insee","unite_cu"
"01001","2587"
"01002","2562"
"01004","2556"
"01005","2596"
"01006","2555"
"01007","2556"
"01008","2560"
"01009","2565"
"01010","2558"
"01011","2568"
"01012","2559"
"01013","2562"
"01014","10100782"
"01015","2555"
"01016","2547"
"01017","2562"
"01019","2565"
"01021","2585"
"01022","2557"
"01023","2549"
"01024","2545"
"01025","2549"
"01026","2549"
"01027","2591"
"01028","2587"
"01029","2544"
"01030","28926"
"01031","10100782"
"01032","2591"
"01033","26027"
"01034","2555"
"01035","2574"
"01036","2557"
"01037","2561"
"01038","2544"
"01040","2545"
"01041","2556"
"01042","31758"
"01043","2590"
"01044","26027"
"01045","2596"
"01046","2598"
"01047","2560"
"01049","2591"
"01050","2547"
"01051","2568"
"01052","2596"
"01053","10100781"
"01054","2589"
"01056","2571"
"01057","2547"
"01058","2561"
"01060","2559"
"01061","2555"
"01062","2591"
"01063","2568"
"01064","2561"
"01065","2542"
"01066","2565"
"01067","2568"
"01068","2571"
"01069","2546"
"01071","2577"
"01072","2543"
"01073","2558"
"01074","2586"
"01075","2585"
"01076","2562"
"01077","2571"
"01078","2579"
"01079","2557"
"01080","2559"
"01081","2578"
"01082","2558"
"01083","2594"
"01084","2598"
"01085","2596"
"01087","2568"
"01088","2589"
"01089","2556"
"01090","2586"
"01092","2586"
"01093","2587"
"01094","2547"
"01095","2551"
"01096","2598"
"01098","2555"
"01099","2560"
"01100","2565"
"01101","2559"
"01102","2547"
"01103","2577"
"01104","2578"
"01105","2593"
"01106","2543"
"01107","2562"
"01108","2544"
"01109","2579"
"01110","2555"
"01111","2562"
"01112","2559"
"01113","2587"
"01114","2578"
"01115","2545"
"01116","2565"
"01117","2555"
"01118","2558"
"01121","2559"
"01123","31758"
"01124","2550"
"01125","2551"
"01127","2551"
"01128","2550"
"01129","2586"
"01130","2545"
"01133","2558"
"01134","31758"
"01135","28307"
"01136","31758"
"01138","2558"
"01139","2550"
"01140","2545"
"01141","2565"
"01142","2591"
"01143","2580"
"01145","2546"
"01146","2587"
"01147","2544"
"01148","2574"
"01149","2556"
"01150","2543"
"01151","2546"
"01152","2574"
"01153","2577"
"01155","2562"
"01156","2589"
"01157","28926"
"01158","2579"
"01159","2549"
"01160","2581"
"01162","2558"
"01163","2545"
"01165","2592"
"01166","28926"
"01167","2595"
"01169","2595"
"01170","2568"
"01171","2574"
"01173","2577"
"01174","2574"
"01175","2547"
"01177","2543"
"01179","31758"
"01180","2580"
"01181","2574"
"01183","2592"
"01184","2543"
"01185","2559"
"01187","2559"
"01188","2595"
"01189","26027"
"01190","2561"
"01191","2559"
"01192","2568"
"01193","2555"
"01194","28926"
"01195","2543"
"01196","2545"
"01197","2546"
"01198","2586"
"01199","2571"
"01200","2571"
"01202","2560"
"01203","31758"
"01204","2568"
"01206","2559"
"01207","2596"
"01208","2558"
"01209","2579"
"01210","2578"
"01211","2542"
"01212","2550"
"01213","2560"
"01214","2568"
"01215","26027"
"01216","2561"
"01219","2561"
"01224","2560"
"01225","2592"
"01227","2555"
"01228","2568"
"01229","2545"
"01230","2550"
"01231","2549"
"01232","2544"
"01233","2561"
"01234","2565"
"01235","2596"
"01236","2545"
"01237","2574"
"01238","2585"
"01239","2555"
"01240","2574"
"01241","2551"
"01242","2571"
"01243","2592"
"01244","2589"
"01245","2543"
"01246","2598"
"01247","2578"
"01248","2593"
"01249","2590"
"01250","28926"
"01252","2595"
"01254","2543"
"01255","2561"
"01257","26027"
"01258","2592"
"01259","2542"
"01260","2589"
"01261","2596"
"01262","2591"
"01263","2592"
"01264","2542"
"01265","2568"
"01266","2545"
"01267","2568"
"01268","2555"
"01269","2568"
"01272","2587"
"01273","2546"
"01274","2568"
"01275","2590"
"01276","2591"
"01277","2562"
"01279","2562"
"01280","2561"
"01281","2581"
"01282","2559"
"01283","10100782"
"01284","2547"
"01285","2585"
"01286","2555"
"01288","2579"
"01289","10100781"
"01290","2589"
"01291","31758"
"01293","2568"
"01294","2555"
"01295","2595"
"01296","2544"
"01297","2591"
"01298","2568"
"01299","2596"
"01301","2542"
"01302","2558"
"01303","2571"
"01304","2546"
"01305","2547"
"01306","31758"
"01307","2568"
"01308","2579"
"01309","2551"
"01310","2555"
"01311","2559"
"01313","2581"
"01314","2546"
"01317","2543"
"01318","2585"
"01319","2587"
"01320","2549"
"01321","2543"
"01322","2585"
"01323","2547"
"01325","2589"
"01328","2587"
"01329","2565"
"01330","2559"
"01331","2571"
"01332","2549"
"01333","2593"
"01334","31758"
"01335","2587"
"01336","2542"
"01337","2547"
"01338","2561"
"01339","2585"
"01342","2591"
"01343","31758"
"01344","10100781"
"01345","2556"
"01346","2545"
"01347","2585"
"01348","2595"
"01349","2589"
"01350","2551"
"01351","2595"
"01352","2547"
"01353","28926"
"01354","28307"
"01355","31758"
"01356","2587"
"01357","26027"
"01358","2555"
"01359","2596"
"01360","28307"
"01361","2589"
"01362","2593"
"01363","2571"
"01364","2550"
"01365","31758"
"01366","2560"
"01367","2550"
"01368","2598"
"01369","2543"
"01370","2549"
"01371","2593"
"01372","2565"
"01373","2568"
"01374","2546"
"01375","2545"
"01376","2590"
"01378","2589"
"01379","2556"
"01380","2550"
"01381","2596"
"01382","2596"
"01383","2596"
"01384","2562"
"01385","2542"
"01386","2560"
"01387","2545"
"01388","2550"
"01389","2594"
"01390","2560"
"01391","2544"
"01392","2574"
"01393","2587"
"01396","2560"
"01397","2581"
"01398","2585"
"01399","2577"
"01400","2561"
"01401","28307"
"01402","2547"
"01403","2561"
"01404","2568"
"01405","2542"
"01406","2550"
"01407","2558"
"01408","2543"
"01410","2574"
"01411","2560"
"01412","2587"
"01415","2558"
"01416","2562"
"01418","2590"
"01419","28307"
"01420","2595"
"01421","2562"
"01422","2546"
"01423","28926"
"01424","2590"
"01425","2546"
"01426","2551"
"01427","2585"
"01428","2594"
"01429","2598"
"01430","2546"
"01431","2560"
"01432","2544"
"01433","2550"
"01434","2586"
"01435","2581"
"01436","2577"
"01437","2550"
"01439","2549"
"01441","2559"
"01443","2596"
"01444","2560"
"01445","2544"
"01446","2585"
"01447","2543"
"01448","26027"
"01449","2586"
"01450","2589"
"01451","10100781"
"01452","2565"
"01453","2557"
"01454","2555"
"01456","2558"
"01457","2598"
"02001","406"
"02002","410"
"02003","441"
"02004","412"
"02005","27450"
"02006","451"
"02007","407"
"02008","443"
"02009","433"
"02010","443"
"02011","444"
"02012","442"
"02013","415"
"02014","406"
"02015","445"
"02016","410"
