"unite_id","unite_cu","unite_nom","unite_adresse","unite_mail_actif","unite_tph","unite_dpt","unite_zpn","unite_cu_sup","mail_departement_actif","unite_id_anonym","horaire_ouverture","latitude_wgs84","longitude_wgs84"
"7253","6914","Brigade territoriale autonome de La-Foa","95 Route Territoriale 1 98880 LA FOA","bta.la-foa@gendarmerie.interieur.gouv.fr","+687 44 87 50","988","1","aucun","corg.boe.comgendnc@gendarmerie.interieur.gouv.fr","1002536","$Lundi : 7h30-11h30 13h30-17h30$Mardi : 7h30-11h30 13h30-17h30$Mercredi : 7h30-11h30 13h30-17h30$Jeudi : 7h30-11h30 13h30-17h30$Vendredi : 7h30-11h30 13h30-17h30$Samedi : 7h30-11h30 13h30-17h30$Dimanche : 8h30-11h30 14h30-17h30$Jours Fériés : 8h30-11h30 14h30-17h30","-21.708937","165.82664"
"5943","3436","Brigade de proximité de Raon-l'Étape","15 Rue Duc Ferry III 88110 RAON L ETAPE","cob.raon-l-etape@gendarmerie.interieur.gouv.fr","03 29 41 40 17","88","1","aucun","corg.ggd88@gendarmerie.interieur.gouv.fr","1011749","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","48.40602","6.834757"
"5510","138","Brigade de proximité de Watten","2 Rue Vandesmet 59143 WATTEN","cob.bourbourg@gendarmerie.interieur.gouv.fr","03 21 88 30 17","59","1","aucun","corg.ggd59@gendarmerie.interieur.gouv.fr","1013519","$Lundi : 8h00-12h00$Vendredi : 8h00-12h00$Samedi : 14h00-18h00","50.82769","2.20944"
"5511","135","Brigade de proximité d'Hondschoote","14 Avenue de l'Europe 59122 HONDSCHOOTE","cob.ghyvelde@gendarmerie.interieur.gouv.fr","03 28 68 30 04","59","1","aucun","corg.ggd59@gendarmerie.interieur.gouv.fr","1013522","$Mercredi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00","50.97606","2.58273"
"5512","3845","Brigade de proximité de Saint-Pierre-le-Moûtier","2 Rue du Colonel Arnaud BELTRAME 58240 ST PIERRE LE MOUTIER","cob.st-pierre-le-moutier@gendarmerie.interieur.gouv.fr","03 86 90 77 70","58","1","aucun","corg.ggd58@gendarmerie.interieur.gouv.fr","1012772","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","46.78365","3.11707"
"5509","3844","Brigade de proximité de Saint-Benin-d'Azy","16 Avenue Pierre Petit 58270 ST BENIN D AZY","cob.imphy@gendarmerie.interieur.gouv.fr","03 86 58 40 74","58","1","aucun","corg.ggd58@gendarmerie.interieur.gouv.fr","1012770","$Mercredi : 8h00-12h00","46.99991","3.39449"
"7251","6915","Brigade territoriale autonome de Boulouparis","Village BP 38 72 Voie Urbaine 18 98812 BOULOUPARIS","bta.boulouparis@gendarmerie.interieur.gouv.fr","+687 44 88 35","988","1","aucun","corg.boe.comgendnc@gendarmerie.interieur.gouv.fr","1002537","$Lundi : 7h30-11h30 13h30-17h30$Mardi : 7h30-11h30 13h30-17h30$Mercredi : 7h30-11h30 13h30-17h30$Jeudi : 7h30-11h30 13h30-17h30$Vendredi : 7h30-11h30 13h30-17h30$Samedi : 7h30-11h30 13h30-17h30$Dimanche : 8h30-11h30 14h30-17h30$Jours Fériés : 8h30-11h30 14h30-17h30","-21.867205","166.0482"
"7250","6866","Brigade de proximité de Saint-Paul","60 Rue Olive Lemarchand 97460 ST PAUL","cob.st-paul@gendarmerie.interieur.gouv.fr","+262 2 62 45 45 45","974","1","aucun","corg.boe.comgendre@gendarmerie.interieur.gouv.fr","1002302","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","-20.98222","55.286686"
"7248","5494","Brigade territoriale autonome d'Amboise","1 Boulevard Anatole France 37400 AMBOISE","bta.amboise@gendarmerie.interieur.gouv.fr","02 47 30 63 70","37","1","aucun","corg.ggd37@gendarmerie.interieur.gouv.fr","1008201","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","47.41932","0.98244"
"5977","2738","Brigade territoriale autonome de Voreppe","Caserne Colonel Arnaud BELTRAME 55 Rue du Peuil 38340 VOREPPE","bta.voreppe@gendarmerie.interieur.gouv.fr","04 76 50 22 17","38","1","aucun","corg.ggd38@gendarmerie.interieur.gouv.fr","1008941","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","45.27814","5.64859"
"5978","3649","Brigade de proximité de Carignan","72 Avenue de Blagny 08110 CARIGNAN","cob.carignan@gendarmerie.interieur.gouv.fr","03 24 22 09 22","08","1","aucun","corg.ggd08@gendarmerie.interieur.gouv.fr","1012417","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","49.62737","5.17508"
"5447","3860","Brigade de proximité de Lormes","9 Rue du Pont-National 58140 LORMES","cob.corbigny@gendarmerie.interieur.gouv.fr","03 86 22 87 89","58","1","aucun","corg.ggd58@gendarmerie.interieur.gouv.fr","1012786","$Jeudi : 8h00-12h00","47.28868","3.819"
"5448","5182","Brigade territoriale autonome d'Égly","9 Allée des Joncs 91520 EGLY","bta.egly@gendarmerie.interieur.gouv.fr","01 64 90 00 64","91","1","aucun","corg.ggd91@gendarmerie.interieur.gouv.fr","1003343","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","48.58288","2.22301"
"5443","3794","Brigade de proximité de Mirebeau-sur-Bèze","2 Rue du Collège 21310 MIREBEAU SUR BEZE","cob.mirebeau-sur-beze@gendarmerie.interieur.gouv.fr","03 80 10 08 30","21","1","aucun","cog.ggd21@gendarmerie.interieur.gouv.fr","1012692","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","47.39885","5.3108"
"5444","11232","Brigade de proximité de Soisy-sur-Seine","58 Boulevard de la République 91450 SOISY SUR SEINE","cob.st-germain-les-corbeil@gendarmerie.interieur.gouv.fr","01 60 75 85 20","91","1","aucun","corg.ggd91@gendarmerie.interieur.gouv.fr","1003322","$Mardi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00","48.64943","2.44711"
"5445","3662","Brigade de proximité de Machault","2 Rue de la Hobette 08310 MACHAULT","cob.vouziers@gendarmerie.interieur.gouv.fr","03 24 30 31 33","08","1","aucun","corg.ggd08@gendarmerie.interieur.gouv.fr","1012429","$Lundi : 14h00-19h00$Vendredi : 8h00-12h00","49.35882","4.50484"
"5446","3803","Brigade de proximité d'Arnay-le-Duc","1 Rue de Paris 21230 ARNAY LE DUC","cob.arnay-le-duc@gendarmerie.interieur.gouv.fr","03 80 90 11 17","21","1","aucun","cog.ggd21@gendarmerie.interieur.gouv.fr","1012704","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","47.13622","4.48456"
"7247","5511","Brigade de proximité de Bourgueil","10 Rue du 8 Mai 1945 37140 BOURGUEIL","cob.bourgueil@gendarmerie.interieur.gouv.fr","02 47 97 21 40","37","1","aucun","corg.ggd37@gendarmerie.interieur.gouv.fr","1008220","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00","47.27862","0.16286"
"4643","15639","Brigade territoriale autonome de Basse-Goulaine","80 Rue de Goulaine 44115 BASSE GOULAINE","bta.basse-goulaine@gendarmerie.interieur.gouv.fr","02 40 80 56 93","44","1","aucun","cog.ggd44@gendarmerie.interieur.gouv.fr","1007388","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-19h00$Jours Fériés : 9h00-12h00 15h00-19h00","47.2085","-1.46128"
"6275","6910","Brigade territoriale autonome de Wallis","Île Uvea Zone de Mata'Utu 98600 UVEA","bta.wallis@gendarmerie.interieur.gouv.fr","+681 72 09 00","986","1","aucun","bta.wallis@gendarmerie.interieur.gouv.fr","1002401","$Lundi : 7h30-12h00 14h00-17h30$Mardi : 7h30-12h00 14h00-17h30$Mercredi : 7h30-12h00 14h00-17h30$Jeudi : 7h30-12h00 14h00-17h30$Vendredi : 7h30-12h00 14h00-17h30$Samedi : 7h30-12h00 14h00-17h30$Dimanche : 9h00-12h00 15h00-17h00$Jours Fériés : 9h00-12h00 15h00-17h00","-13.284264","-176.17377"
"7244","5497","Brigade de proximité de Ballan-Miré","2 Avenue de l'Orée-des-Bois 37510 BALLAN MIRE","cob.chambray-les-tours@gendarmerie.interieur.gouv.fr","02 47 68 26 90","37","1","aucun","corg.ggd37@gendarmerie.interieur.gouv.fr","1008187","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","47.34621","0.60935"
"7242","5480","Brigade de proximité d'Issoudun","24 Avenue Jean Bonnefont 36100 ISSOUDUN","cob.issoudun@gendarmerie.interieur.gouv.fr","02 54 03 53 20","36","1","aucun","corg.ggd36@gendarmerie.interieur.gouv.fr","1008113","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","46.95494","1.99437"
"5706","4371","Brigade de proximité de Valensole","6 Boulevard des Lavandes 04210 VALENSOLE","cob.greoux-les-bains@gendarmerie.interieur.gouv.fr","04 92 74 80 03","04","1","aucun","corg.ggd04@gendarmerie.interieur.gouv.fr","1010069","$Lundi : 8h00-12h00$Samedi : 14h00-18h00","43.84085","5.9858"
"5707","4392","Brigade de proximité de Banon","24 Allée Arnaud Beltrame 04150 BANON","cob.banon@gendarmerie.interieur.gouv.fr","04 92 73 20 01","04","1","aucun","corg.ggd04@gendarmerie.interieur.gouv.fr","1010071","$Lundi : 8h00-12h00$Mardi : 14h00-18h00$Mercredi : 8h00-12h00$Jeudi : 8h00-12h00$Vendredi : 8h00-12h00$Dimanche : 15h00-18h00","44.039185","5.629599"
"5708","469","Brigade territoriale autonome de Bresles","39 Rue René Coty 60510 BRESLES","bta.bresles@gendarmerie.interieur.gouv.fr","03 44 07 87 17","60","1","aucun","corg.ggd60@gendarmerie.interieur.gouv.fr","1013946","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00$Jours Fériés : 9h00-12h00","49.40772","2.24761"
"7240","5465","Brigade de proximité de Bélâbre","22 Rue Gambetta 36370 BELABRE","cob.le-blanc@gendarmerie.interieur.gouv.fr","02 54 28 44 70","36","1","aucun","corg.ggd36@gendarmerie.interieur.gouv.fr","1008142","$Mardi : 14h00-18h00$Samedi : 14h00-18h00","46.5525","1.16022"
"7241","5468","Brigade de proximité de Saint-Gaultier","22 Place du Champ-de-Foire 36800 ST GAULTIER","cob.le-blanc@gendarmerie.interieur.gouv.fr","02 54 24 67 20","36","1","aucun","corg.ggd36@gendarmerie.interieur.gouv.fr","1008143","$Lundi : 14h00-18h00$Vendredi : 8h00-12h00$Samedi : 8h00-12h00","46.63455","1.41845"
"7238","5369","Brigade de proximité de Baugy","4 Rue du Colonel Beltrame 18800 BAUGY","cob.baugy@gendarmerie.interieur.gouv.fr","02 48 23 23 15","18","1","aucun","corg.ggd18@gendarmerie.interieur.gouv.fr","1007959","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","47.08156","2.73489"
"7239","5438","Brigade de proximité de Senonches","Rue de la Pyramide 28250 SENONCHES","cob.brezolles@gendarmerie.interieur.gouv.fr","02 37 37 36 85","28","1","aucun","corg.ggd28@gendarmerie.interieur.gouv.fr","1008066","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Jours Fériés : 9h00-12h00 15h00-18h00","48.55764","1.03212"
"7237","6925","Brigade territoriale autonome de Yaté","Village 98834 YATE","bta.yate@gendarmerie.interieur.gouv.fr","+687 44 87 80","988","1","aucun","corg.boe.comgendnc@gendarmerie.interieur.gouv.fr","1002531","$Lundi : 7h30-12h00$Mercredi : 7h30-12h00$Samedi : 7h30-12h00","-22.16037","166.94336"
"62","271","Brigade territoriale autonome de Neufchâtel-Hardelot","86 Rue des Allées 62152 NEUFCHATEL HARDELOT","bta.neufchatel-hardelot@gendarmerie.interieur.gouv.fr","03 21 83 77 17","62","1","aucun","corg.ggd62@gendarmerie.interieur.gouv.fr","1013632","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","50.61967","1.64463"
"7236","5300","Brigade de proximité de Villiers-Saint-Georges","24 Rue de Sancy 77560 VILLIERS ST GEORGES","cob.provins@gendarmerie.interieur.gouv.fr","01 64 60 26 10","77","1","aucun","corg.ggd77@gendarmerie.interieur.gouv.fr","1003508","$Lundi : 8h00-12h00$Mardi : 8h00-12h00$Mercredi : 8h00-12h00$Jeudi : 8h00-12h00$Vendredi : 8h00-12h00$Samedi : 8h00-12h00$Dimanche : 9h00-12h00$Jours Fériés : 9h00-12h00","48.65262","3.405069"
"5508","3838","Brigade de proximité de Decize","105 Avenue de Verdun 58300 DECIZE","cob.decize@gendarmerie.interieur.gouv.fr","03 86 77 37 10","58","1","aucun","corg.ggd58@gendarmerie.interieur.gouv.fr","1012765","$Lundi : 8h00-12h00 14h00-18h00$Mardi : 8h00-12h00 14h00-18h00$Mercredi : 8h00-12h00 14h00-18h00$Jeudi : 8h00-12h00 14h00-18h00$Vendredi : 8h00-12h00 14h00-18h00$Samedi : 8h00-12h00 14h00-18h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","46.8273","3.47812"
"67","295","Brigade de proximité de Campagne-lès-Hesdin","Rue Saint-André 62870 CAMPAGNE LES HESDIN","cob.marconne@gendarmerie.interieur.gouv.fr","03 21 90 33 17","62","1","aucun","corg.ggd62@gendarmerie.interieur.gouv.fr","1013651","$Mardi : 8h00-12h00$Mercredi : 8h00-12h00$Samedi : 8h00-12h00","50.39759","1.88261"
"7235","16678","Brigade territoriale autonome de Cély","9 Rue Edouard Goerg 77930 CELY EN BIERE","bta.cely@gendarmerie.interieur.gouv.fr","01 64 81 90 85","77","1","aucun","corg.ggd77@gendarmerie.interieur.gouv.fr","1003486","$Lundi : 8h00-12h00 14h00-19h00$Mardi : 8h00-12h00 14h00-19h00$Mercredi : 8h00-12h00 14h00-19h00$Jeudi : 8h00-12h00 14h00-19h00$Vendredi : 8h00-12h00 14h00-19h00$Samedi : 8h00-12h00 14h00-19h00$Dimanche : 9h00-12h00 15h00-18h00$Jours Fériés : 9h00-12h00 15h00-18h00","48.45886","2.52766"
