"unite_id","unite_cu","unite_nom","unite_adresse","unite_mail_actif","unite_tph","unite_dpt","unite_zpn","unite_cu_sup","mail_departement_actif","unite_id_anonym","horaire_ouverture","latitude_wgs84","longitude_wgs84"
"1","68809","Commissariat de police de Nîmes","245 Avenue Pierre Gamel 30000 NIMES","ddsp30-csp-nimes-ppel@interieur.gouv.fr","04 66 27 30 00","30","2","68769","ddsp30-ppel@interieur.gouv.fr","3995","24h/24 - 7j/7","43.826187","4.3614607"
"2","85193","Commissariat de police de Nîmes - Secteur Ouest","4 Promenade Newton 30000 NIMES","ddsp30-csec-ouest-ppel@interieur.gouv.fr","04 66 27 32 20","30","2","85191","ddsp30-ppel@interieur.gouv.fr","3991","","43.829277","4.328536"
"3","85194","Commissariat de police de Nîmes - Secteur Est","329 Avenue Bir Hakeim 30000 NIMES","ddsp30-csec-est-ppel@interieur.gouv.fr","04 66 26 67 59","30","2","85191","ddsp30-ppel@interieur.gouv.fr","3990","","43.84237","4.3856277"
"4","68830","Commissariat de police d'Alès","1 Rue Saint Sébastien 30100 ALES","ddsp30-csp-ales-ppel@interieur.gouv.fr","04 66 78 14 22","30","2","68769","ddsp30-ppel@interieur.gouv.fr","3992","24h/24 - 7j/7","44.12703","4.077532"
"5","68849","Commissariat de police de Bagnols-sur-Cèze","Rue Gentil 30200 BAGNOLS SUR CEZE","ddsp30-csp-bagnols-sur-ceze-ppel@interieur.gouv.fr","04 66 90 63 90","30","2","68769","ddsp30-ppel@interieur.gouv.fr","3994","24h/24 - 7j/7","44.162506","4.6177735"
"6","72903","Commissariat de police de Toulouse","23 Boulevard de l'Embouchure 31000 TOULOUSE","ddsp31-csp-toulouse-ppel@interieur.gouv.fr","05 61 12 77 77","31","2","72725","ddsp31-ppel@interieur.gouv.fr","4007","24h/24 - 7j/7","43.6152","1.433501"
"7","102601","Commissariat de police de Toulouse - Secteur Nord","104 Avenue de Fronton 31200 TOULOUSE","ddsp31-csec-nord-ppel@interieur.gouv.fr","05 34 42 23 20","31","2","102584","ddsp31-ppel@interieur.gouv.fr","3999","","43.63387","1.4333756"
"8","110279","Commissariat de police de Toulouse - Secteur Centre","17 Rue du rempart Saint Etienne 31000 TOULOUSE","ddsp31-csec-centre-ppel@interieur.gouv.fr","05 61 12 81 97","31","2","102603","ddsp31-ppel@interieur.gouv.fr","3997","","43.601643","1.4506974"
"9","110280","Commissariat de police de Toulouse - Secteur Jolimont","16 Avenue Camille Flammarion 31500 TOULOUSE","ddsp31-csec-jolimont-ppel@interieur.gouv.fr","05 62 12 25 30","31","2","102603","ddsp31-ppel@interieur.gouv.fr","3998","","43.611034","1.4626145"
"10","110281","Commissariat de police de Toulouse - Secteur Sud","30 Route de Narbonne 31400 TOULOUSE","ddsp31-csec-sud-ppel@interieur.gouv.fr","05 34 31 81 40","31","2","102605","ddsp31-ppel@interieur.gouv.fr","4002","","43.57082","1.4546353"
"11","110282","Commissariat de police de Toulouse - Secteur Ormeau","3 Rue Raymond Corraze 31500 TOULOUSE","ddsp31-csec-ormeau-ppel@interieur.gouv.fr","05 61 20 10 02","31","2","102605","ddsp31-ppel@interieur.gouv.fr","4000","","43.579224","1.4837809"
"12","102645","Commissariat de police de Toulouse - Secteur Mirail","62 Allée de Bellefontaine 31100 TOULOUSE","ddsp31-csub-mirail-ppel@interieur.gouv.fr","05 34 62 70 10","31","2","102629","ddsp31-ppel@interieur.gouv.fr","4010","24h/24 - 7j/7","43.56589","1.4000287"
"13","102647","Commissariat de police de Toulouse - Secteur Ouest","46 Allée Charles de Fitte 31300 TOULOUSE","ddsp31-csec-ouest-ppel@interieur.gouv.fr","05 61 77 07 77","31","2","102629","ddsp31-ppel@interieur.gouv.fr","4001","","43.59709","1.4316133"
"14","72727","Commissariat de police de Saint-Gaudens","2 Place du Capitaine GESSE 31800 SAINT GAUDENS","ddsp31-csp-stgaudens-ppel@interieur.gouv.fr","05 61 94 87 00","31","2","72725","ddsp31-ppel@interieur.gouv.fr","4003","24h/24 - 7j/7","43.109825","0.7217719"
"15","68905","Commissariat de police d'Auch","1 Rue du Préfet Claude Erignac 32000 AUCH","ddsp32-csp-auch-ppel@interieur.gouv.fr","05 62 61 54 54","32","2","68894","ddsp32-ppel@interieur.gouv.fr","4012","24h/24 - 7j/7","43.64657","0.58615494"
"16","74097","Commissariat de police de Bordeaux","23 Rue François de Sourdis 33000 BORDEAUX","ddsp33-csp-bordeaux-ppel@interieur.gouv.fr","05 57 85 77 77","33","2","74019","ddsp33-ppel@interieur.gouv.fr","4017","24h/24 - 7j/7","44.835045","-0.58881265"
"17","102765","Commissariat de police de Le Bouscat","226 Avenue de Tivoli 33110 LE BOUSCAT","ddsp33-csub-le-bouscat-ppel@interieur.gouv.fr","05 57 22 52 30","33","2","102761","ddsp33-ppel@interieur.gouv.fr","4028","24h/24 - 7j/7","44.86629","-0.595581"
"18","102812","Commissariat de police de Pessac","49 bis Avenue du Général Leclerc 33600 PESSAC","ddsp33-csp-pessac-ppel@interieur.gouv.fr","05 57 26 38 70","33","2","102811","ddsp33-ppel@interieur.gouv.fr","4025","24h/24 - 7j/7","44.794487","-0.66917104"
"19","102821","Commissariat de police de Mérignac","14 Place Charles de Gaulle 33700 MERIGNAC","ddsp33-csp-merignac-ppel@interieur.gouv.fr","05 56 47 11 54","33","2","102811","ddsp33-ppel@interieur.gouv.fr","4024","24h/24 - 7j/7","44.84212","-0.64665073"
"20","102840","Commissariat de police d'Eysines","30 Avenue de Picot 33320 EYSINES","ddsp33-csec-eysines-ppel@interieur.gouv.fr","05 57 93 09 30","33","2","102837","ddsp33-ppel@interieur.gouv.fr","4013","","44.883198","-0.64781326"
"21","74181","Commissariat de police d'Arcachon","1 Place de Verdun 33120 ARCACHON","ddsp33-csp-arcachon-ppel@interieur.gouv.fr","05 57 72 29 30","33","2","74019","ddsp33-ppel@interieur.gouv.fr","4015","24h/24 - 7j/7","44.65828","-1.1609669"
"22","65575","Commissariat de police de Montpellier","206 Rue du comte de Melgueil 34000 MONTPELLIER","ddsp34-csp-montpellier-ppel@interieur.gouv.fr","04 99 13 50 00","34","2","65959","ddsp34-ppel@interieur.gouv.fr","4044","24h/24 - 7j/7","43.603706","3.8922198"
"23","105296","Commissariat de police de Montpellier - Secteur Mosson","Quartier Mosson Le grand Mail 34000 MONTPELLIER","ddsp34-csec-nord-ppel@interieur.gouv.fr","04 86 94 96 50","34","2","105271","ddsp34-ppel@interieur.gouv.fr","4038","","43.62385","3.816528"
"24","105297","Commissariat de police de Montpellier - Secteur Grand Centre","1 Allée Jules Milhaud 34000 MONTPELLIER","ddsp34-csec-centre-ppel@interieur.gouv.fr","04 86 94 97 30","34","2","105271","ddsp34-ppel@interieur.gouv.fr","4032","","43.611534","3.8598878"
"25","66043","Commissariat de police de Sète","50 Quai de Bosc 34200 SETE","ddsp34-csp-sete-ppel@interieur.gouv.fr","04 67 46 80 22","34","2","65959","ddsp34-ppel@interieur.gouv.fr","4047","24h/24 - 7j/7","43.409004","3.694615"
"26","66063","Commissariat de police d'Agde","Avenue du Général de Gaulle 34300 AGDE","ddsp34-csp-agde-ppel@interieur.gouv.fr","04 67 01 02 00","34","2","65959","ddsp34-ppel@interieur.gouv.fr","4039","24h/24 - 7j/7","43.31241","3.4746659"
"27","66082","Commissariat de police de Béziers","Place du Général de Gaulle 34500 BEZIERS","ddsp34-csp-beziers-ppel@interieur.gouv.fr","04 67 49 54 00","34","2","65959","ddsp34-ppel@interieur.gouv.fr","4040","24h/24 - 7j/7","43.345486","3.2177637"
"28","105405","Commissariat de police de Béziers - Secteur La Devèze","18 Place William Webb Ellis 34500 BEZIERS","ddsp34-csec-la-deveze-ppel@interieur.gouv.fr","04 86 94 97 20","34","2","105401","ddsp34-ppel@interieur.gouv.fr","4034","","43.34464","3.2158787"
"29","63139","Commissariat de police de Rennes","22 Boulevard de la Tour d'Auvergne 35000 RENNES","ddsp35-csp-rennes-ppel@interieur.gouv.fr","02 99 65 00 22","35","2","63092","ddsp35-ppel@interieur.gouv.fr","4051","24h/24 - 7j/7","48.10213","-1.6902827"
"30","63169","Commissariat de police de Fougères","6 Place de la République 35300 FOUGERES","ddsp35-csp-fougeres-ppel@interieur.gouv.fr","02 99 94 17 17","35","2","63092","ddsp35-ppel@interieur.gouv.fr","4049","24h/24 - 7j/7","48.350086","-1.1961199"
"31","63179","Commissariat de police de Saint Malo","22 Rue du Calvaire 35400 ST MALO","ddsp35-csp-saint-malo-ppel@interieur.gouv.fr","02 99 20 69 40","35","2","63092","ddsp35-ppel@interieur.gouv.fr","4056","24h/24 - 7j/7","48.653603","-2.0067065"
